id,name,type,institution,deadline,status,materials_required,materials_done,notes,url
1,Honors Research Travel Grant,fellowship,University of Texas at Dallas,2026-09-15,accepted,application form;budget;advisor letter,application form;budget;advisor letter,Funded. Reimbursement paperwork due after the trip.,https://example.edu/honors/travel-grant
2,NSF Graduate Research Fellowship,fellowship,National Science Foundation,2026-10-20,in_progress,personal statement;research statement;transcript;references,transcript,Research statement draft two is with advisor. Three letters needed.,https://www.nsfgrfp.org/
3,Hertz Fellowship,fellowship,Fannie and John Hertz Foundation,2026-10-23,in_progress,application form;essays;transcript;references,application form;transcript,Essays need one more pass for length.,https://www.hertzfoundation.org/
4,Knight-Hennessy Scholars,fellowship,Stanford University,2026-10-08,submitted,application form;essays;video;references,application form;essays;video;references,Submitted early. Pairs with the Stanford PhD application.,https://example.edu/knight-hennessy
5,DAAD Research Grant,fellowship,German Academic Exchange Service,2026-11-02,not_started,project proposal;cv;transcript;host confirmation;references,,Host confirmation from Saarbruecken group still needed.,https://example.org/daad
6,Quad Fellowship,fellowship,Institute of International Education,2026-11-15,not_started,application form;essays;references,,Check eligibility for students abroad.,https://example.org/quad
7,Paul and Daisy Soros Fellowship,fellowship,Paul and Daisy Soros Foundation,2026-10-29,in_progress,application form;essays;transcript;references,application form;essays;transcript,Two references submitted; waiting on one.,https://example.org/soros
8,PhD in Computer Science,phd,University of Washington,2026-12-01,in_progress,statement of purpose;cv;transcript;references,cv;transcript,Contact two faculty in NLP group before submitting.,https://example.edu/uw-cse
9,PhD in Language Technologies,phd,Carnegie Mellon University,2026-12-10,not_started,statement of purpose;cv;transcript;references;writing sample,cv,LTI program. Writing sample: obfuscated code paper draft.,https://example.edu/cmu-lti
10,PhD in Computer Science,phd,Stanford University,2026-12-01,in_progress,statement of purpose;cv;transcript;references,cv;transcript,Same SoP core as UW with a Stanford-specific paragraph.,https://example.edu/stanford-cs
11,PhD in EECS,phd,Massachusetts Institute of Technology,2026-12-15,not_started,statement of purpose;cv;transcript;references,,Ask about interpretability faculty taking students.,https://example.edu/mit-eecs
12,PhD in Computer Science,phd,University of Texas at Austin,2026-12-15,not_started,statement of purpose;cv;transcript;references,cv,In-state application. Ask advisor about UT Austin NLP contacts.,https://example.edu/ut-austin-cs
13,PhD in Informatics,phd,University of Edinburgh,2027-01-15,not_started,research proposal;cv;transcript;references,,ILCC. Proposal should cite cross-lingual watermarking work.,https://example.edu/edinburgh-informatics
14,PhD in Computer Science,phd,Saarland University,2027-01-31,not_started,research statement;cv;transcript;references,,Already in Saarbruecken. Ask current group about the graduate school route.,https://example.edu/saarland-cs
15,Google PhD Fellowship (nomination),fellowship,Google Research,2026-12-05,declined,nomination form;cv,,Department nominated a different student this year.,https://example.org/google-phd-fellowship
